id,job_admin.,age
9,1,31
13,1,34
32,1,52
79,1,51
187,1,40
372,1,51
706,1,30
761,1,25
821,1,39
822,1,26
949,1,47
988,1,58
991,1,42
1028,1,33
1064,1,34
1077,1,58
1288,1,47
1368,1,41
1376,1,47
1380,1,30
1441,1,45
1729,1,41
1758,1,30
1779,1,35
1797,1,29
1879,1,38
1881,1,57
1921,1,61
1958,1,59
2031,1,26
2054,1,54
2073,1,50
2142,1,53
2361,1,28
2455,1,59
2600,1,31
2632,1,28
2765,1,39
2811,1,60
3013,1,28
3060,1,30
3112,1,33
3131,1,31
3155,1,34
3248,1,40
3303,1,40
3331,1,36
3366,1,31
3423,1,51
3504,1,26
3657,1,30
3676,1,54
4015,1,35
4018,1,36
4159,1,41
4166,1,44
4190,1,40
4213,1,34
4301,1,60
4303,1,43
4349,1,58
4533,1,31
4607,1,43
4728,1,39
4738,1,57
4779,1,28
4800,1,37
4873,1,24
4884,1,47
4973,1,32
5151,1,22
5347,1,35
5448,1,44
5449,1,44
5569,1,25
5591,1,33
5611,1,51
5741,1,58
5851,1,54
5931,1,27
6105,1,63
6109,1,42
6171,1,26
6181,1,21
6182,1,50
6295,1,47
6320,1,53
6346,1,37
6433,1,45
6499,1,27
6531,1,47
6570,1,47
6715,1,30
6736,1,45
6754,1,37
6756,1,39
6771,1,28
7020,1,44
7066,1,39
7082,1,35
7220,1,47
7229,1,45
7257,1,26
7302,1,43
7315,1,31
7348,1,45
7565,1,32
7706,1,34
7846,1,48
7912,1,49
7966,1,40
7969,1,35
7973,1,60
8004,1,37
8017,1,32
8030,1,27
8049,1,32
8061,1,31
8103,1,39
8126,1,33
8217,1,38
8256,1,41
8260,1,59
8386,1,37
8395,1,32
8439,1,35
8501,1,34
8570,1,29
8582,1,30
8603,1,28
8637,1,37
8681,1,35
8759,1,32
8831,1,35
8898,1,33
8900,1,46
8921,1,55
8949,1,45
8951,1,27
9036,1,25
9064,1,41
9165,1,37
9210,1,60
9392,1,27
9400,1,37
9508,1,53
9527,1,65
9529,1,47
9550,1,26
9760,1,23
9889,1,34
9937,1,43
9953,1,34
9961,1,29
9985,1,31
10002,1,35
10063,1,52
10074,1,31
10093,1,25
10278,1,46
10290,1,37
10360,1,53
10371,1,60
10391,1,31
10442,1,35
10549,1,27
10583,1,30
10663,1,42
10752,1,38
10856,1,45
10989,1,39
11010,1,42
11126,1,36
11192,1,33
11217,1,30
11223,1,26
11236,1,33
11458,1,52
11471,1,26
11575,1,46
11658,1,31
11761,1,35
11791,1,26
11850,1,29
11866,1,33
11926,1,30
11942,1,47
11955,1,28
12032,1,50
12034,1,56
12038,1,22
12131,1,36
12201,1,25
12341,1,41
12355,1,34
12443,1,34
12445,1,25
12448,1,32
12547,1,28
12569,1,40
12625,1,37
12676,1,33
12701,1,49
12746,1,28
12945,1,42
13013,1,35
13155,1,25
13203,1,38
13206,1,54
13302,1,34
13318,1,33
13344,1,34
13401,1,31
13483,1,40
13498,1,38
13509,1,22
13628,1,33
13788,1,35
13792,1,32
13822,1,36
13935,1,26
13953,1,41
14038,1,36
14145,1,48
14223,1,60
14613,1,31
14619,1,44
14747,1,26
14871,1,38
14878,1,53
14898,1,50
15163,1,58
15167,1,33
15208,1,46
15326,1,37
15474,1,45
15748,1,31
15757,1,24
16005,1,50
16099,1,61
16161,1,49
16162,1,26
16240,1,56
16352,1,28
16377,1,42
16471,1,33
16475,1,47
16511,1,33
16556,1,60
16766,1,36
16911,1,57
17365,1,47
17510,1,37
17518,1,37
17642,1,31
17854,1,54
17874,1,32
17932,1,32
17986,1,53
18001,1,34
18034,1,33
18066,1,45
18304,1,45
18322,1,42
18335,1,29
18452,1,36
18512,1,53
18628,1,48
18790,1,29
18795,1,45
18895,1,49
18916,1,25
18945,1,54
19130,1,43
19149,1,41
19194,1,34
19216,1,48
19231,1,50
19341,1,58
19345,1,39
19393,1,55
19405,1,38
19675,1,54
19716,1,46
19753,1,31
19830,1,45
19838,1,46
19970,1,29
19989,1,29
20029,1,47
20152,1,49
20162,1,33
20184,1,35
20192,1,34
20193,1,43
20232,1,49
20275,1,46
20278,1,32
20425,1,27
20441,1,54
20475,1,36
20624,1,33
20692,1,32
20886,1,39
20935,1,46
21037,1,29
21049,1,60
21109,1,44
21117,1,28
21149,1,27
21164,1,29
21217,1,40
21232,1,30
21278,1,48
21311,1,29
21418,1,32
21511,1,32
21635,1,32
21763,1,35
21822,1,60
21918,1,37
21934,1,59
21978,1,27
22047,1,30
22055,1,30
22206,1,43
22236,1,33
22283,1,35
22362,1,45
22364,1,47
22570,1,33
22706,1,31
22726,1,34
22739,1,32
22744,1,37
22773,1,31
22833,1,33
22989,1,28
23053,1,30
23057,1,45
23114,1,40
23217,1,24
23508,1,37
23763,1,35
23876,1,58
24038,1,49
24049,1,59
24157,1,38
24207,1,55
24292,1,37
24313,1,40
24469,1,58
24642,1,30
24645,1,27
24676,1,29
24809,1,31
24858,1,39
24943,1,52
25005,1,56
25083,1,30
25208,1,32
25304,1,38
25319,1,25
25454,1,50
25499,1,37
25589,1,60
25605,1,26
25729,1,36
25786,1,31
25909,1,38
25943,1,45
25963,1,49
26006,1,60
26010,1,36
26195,1,57
26273,1,47
26429,1,33
26464,1,55
26509,1,49
26535,1,27
26547,1,55
26562,1,34
26659,1,45
26856,1,53
26950,1,44
