id,job_student,age
140,1,28
240,1,28
241,1,29
258,1,22
324,1,25
1407,1,28
1531,1,25
1551,1,28
1556,1,21
1708,1,23
1853,1,25
1955,1,30
2099,1,27
2164,1,30
2945,1,24
2986,1,25
3207,1,35
3411,1,24
3582,1,23
3591,1,22
3713,1,23
3717,1,21
4104,1,30
4278,1,19
4323,1,29
4354,1,25
4359,1,38
4598,1,20
5545,1,36
5636,1,30
5852,1,26
6080,1,23
6339,1,24
6344,1,25
6396,1,21
6405,1,40
6711,1,30
6800,1,30
6974,1,24
7635,1,20
7735,1,28
7816,1,21
7905,1,24
7935,1,21
8008,1,22
8081,1,27
8611,1,18
8807,1,19
8842,1,29
8872,1,22
8875,1,31
8937,1,31
9052,1,23
9212,1,24
9642,1,24
9853,1,24
10166,1,28
10503,1,23
10521,1,19
10545,1,35
10694,1,27
10887,1,18
10973,1,29
11239,1,24
11335,1,27
11405,1,26
11707,1,20
11960,1,22
12191,1,25
12253,1,22
12349,1,24
12410,1,29
12486,1,24
13075,1,27
13250,1,25
13282,1,25
13406,1,24
13646,1,20
13805,1,35
13961,1,29
14221,1,23
14289,1,32
14523,1,20
14637,1,21
14717,1,31
14725,1,26
14732,1,32
14771,1,19
15151,1,21
15417,1,20
15546,1,28
15591,1,19
15660,1,25
15697,1,23
15856,1,30
15866,1,28
15891,1,21
15977,1,22
15991,1,39
16093,1,25
16198,1,26
16534,1,23
16808,1,22
16889,1,27
16995,1,29
17067,1,27
17131,1,30
17170,1,19
17292,1,30
17320,1,31
17399,1,23
17497,1,36
17545,1,22
17604,1,28
17649,1,26
17715,1,27
18125,1,26
18175,1,30
18320,1,26
18580,1,24
18602,1,24
18669,1,25
18683,1,29
18803,1,29
18849,1,27
19048,1,33
19131,1,22
19141,1,24
19897,1,20
20039,1,25
20254,1,26
20406,1,27
20417,1,46
20508,1,22
20734,1,27
20775,1,19
20916,1,32
21029,1,26
21616,1,18
21710,1,38
21838,1,28
22082,1,21
22243,1,33
22313,1,36
22343,1,25
22593,1,22
22777,1,29
22870,1,22
22871,1,27
23048,1,27
23657,1,30
24401,1,20
25008,1,25
25365,1,22
25421,1,22
25601,1,18
25614,1,23
25616,1,22
25644,1,20
25902,1,29
26438,1,25
26615,1,25
26812,1,21
26876,1,20
26921,1,22
27070,1,27
