id,job_technician,age
8,1,32
12,1,34
16,1,71
285,1,36
335,1,44
430,1,44
488,1,40
522,1,32
559,1,35
620,1,26
647,1,41
685,1,52
766,1,46
889,1,30
950,1,36
1006,1,38
1092,1,29
1221,1,42
1352,1,32
1395,1,44
1408,1,33
1410,1,46
1418,1,42
1455,1,51
1615,1,25
1642,1,39
1649,1,46
1664,1,32
1702,1,31
1859,1,69
1865,1,39
1951,1,34
2078,1,26
2207,1,46
2306,1,53
2327,1,51
2533,1,32
2608,1,34
2674,1,39
2761,1,25
2803,1,28
2837,1,38
2903,1,36
2907,1,54
2990,1,30
3260,1,44
3361,1,35
3371,1,33
3372,1,35
3454,1,47
3564,1,47
3584,1,30
3600,1,23
3705,1,41
3714,1,32
3722,1,22
3731,1,30
3832,1,53
3857,1,53
4061,1,40
4116,1,57
4181,1,51
4208,1,43
4310,1,39
4330,1,29
4383,1,36
4419,1,32
4452,1,35
4474,1,47
4511,1,46
4551,1,52
4596,1,32
4600,1,33
4808,1,46
4898,1,40
4977,1,36
5086,1,31
5188,1,55
5225,1,39
5315,1,33
5329,1,59
5499,1,52
5537,1,31
5628,1,37
5654,1,32
5678,1,24
5738,1,47
5773,1,40
5918,1,39
5981,1,26
6001,1,31
6036,1,31
6056,1,46
6074,1,46
6234,1,44
6327,1,34
6337,1,47
6343,1,37
6374,1,47
6475,1,40
6497,1,45
6661,1,52
6793,1,40
6854,1,37
6860,1,25
6902,1,38
6921,1,41
6929,1,48
7054,1,57
7060,1,31
7098,1,37
7101,1,49
7124,1,26
7137,1,33
7166,1,25
7240,1,46
7242,1,30
7277,1,49
7429,1,52
7463,1,50
7518,1,23
7535,1,26
7582,1,53
7604,1,30
7678,1,29
7726,1,25
7744,1,51
7795,1,39
7806,1,30
7835,1,33
7848,1,54
7921,1,41
8062,1,54
8085,1,43
8092,1,31
8106,1,33
8119,1,37
8172,1,41
8325,1,37
8358,1,38
8421,1,47
8531,1,33
8718,1,32
8780,1,38
8792,1,35
8813,1,37
8826,1,35
8834,1,27
8854,1,28
8871,1,42
8961,1,32
8981,1,52
9000,1,28
9025,1,60
9107,1,34
9115,1,56
9118,1,32
9133,1,34
9143,1,49
9205,1,29
9218,1,36
9258,1,38
9298,1,27
9327,1,34
9334,1,31
9346,1,35
9442,1,47
9513,1,25
9553,1,38
9573,1,37
9574,1,53
9600,1,59
9697,1,32
9714,1,47
9787,1,45
10078,1,42
10104,1,37
10119,1,34
10200,1,33
10204,1,31
10232,1,46
10268,1,37
10330,1,39
10337,1,54
10429,1,59
10476,1,34
10495,1,36
10517,1,54
10519,1,27
10600,1,29
10611,1,28
10645,1,31
10669,1,28
10695,1,28
10725,1,34
10775,1,32
10804,1,44
10846,1,35
10946,1,24
10951,1,42
11004,1,27
11014,1,54
11045,1,50
11100,1,47
11111,1,32
11145,1,30
11198,1,58
11255,1,35
11280,1,47
11309,1,36
11407,1,38
11559,1,37
11601,1,35
11607,1,32
11642,1,32
11664,1,48
11679,1,42
11711,1,38
11899,1,44
11965,1,53
11995,1,53
12147,1,31
12188,1,27
12216,1,43
12321,1,50
12334,1,31
12374,1,53
12417,1,53
12444,1,42
12459,1,35
12468,1,35
12478,1,50
12538,1,63
12719,1,36
12720,1,29
12797,1,41
12825,1,46
12866,1,55
12903,1,29
12986,1,54
13054,1,56
13171,1,31
13381,1,25
13457,1,30
13506,1,31
13515,1,35
13587,1,35
13740,1,33
13779,1,26
13818,1,55
13859,1,29
13873,1,43
13903,1,49
13971,1,30
14156,1,48
14158,1,54
14163,1,31
14196,1,35
14206,1,52
14261,1,60
14337,1,28
14345,1,44
14360,1,58
14392,1,28
14431,1,25
14513,1,32
14739,1,37
14763,1,34
14783,1,54
14971,1,54
15064,1,36
15066,1,28
15122,1,54
15213,1,30
15250,1,38
15289,1,35
15330,1,45
15352,1,35
15435,1,38
15527,1,62
15631,1,28
15646,1,47
15658,1,29
15695,1,28
15751,1,56
15766,1,50
15800,1,38
15840,1,45
15928,1,32
15952,1,36
16016,1,33
16109,1,41
16322,1,26
16421,1,39
16518,1,33
16531,1,32
16700,1,26
16871,1,38
16873,1,37
16926,1,37
16941,1,45
16971,1,38
16986,1,37
17086,1,34
17118,1,40
17128,1,41
17145,1,33
17153,1,38
17197,1,33
17207,1,27
17232,1,27
17260,1,34
17301,1,33
17328,1,40
17349,1,32
17432,1,54
17515,1,53
17519,1,37
17549,1,52
17580,1,44
17623,1,31
17721,1,32
17724,1,29
17727,1,36
17759,1,58
17760,1,60
17771,1,33
17837,1,60
17857,1,56
17945,1,60
17991,1,26
18156,1,32
18295,1,25
18435,1,33
18459,1,27
18516,1,34
18634,1,54
18693,1,39
18699,1,35
18723,1,33
18758,1,49
18998,1,43
19089,1,38
19150,1,49
19168,1,37
19180,1,30
19311,1,32
19374,1,38
19460,1,39
19486,1,27
19494,1,63
19864,1,60
19925,1,34
20005,1,38
20083,1,41
20093,1,30
20308,1,27
20327,1,42
20386,1,34
20541,1,25
20564,1,53
20577,1,32
20607,1,45
20629,1,59
20644,1,30
20710,1,32
20731,1,59
20878,1,42
20968,1,30
21011,1,38
21090,1,50
21161,1,40
21234,1,28
21253,1,51
21348,1,33
21356,1,42
21375,1,34
21379,1,34
21396,1,55
21598,1,32
21600,1,29
21637,1,27
21647,1,52
21707,1,37
21877,1,38
21922,1,43
21954,1,31
22014,1,36
22059,1,35
22063,1,33
22175,1,35
22357,1,37
22407,1,35
22435,1,29
22606,1,43
22641,1,24
22672,1,27
22686,1,26
22701,1,35
22743,1,37
22746,1,47
22807,1,40
22839,1,45
22966,1,45
22990,1,56
23050,1,36
23071,1,37
23116,1,39
23148,1,49
23159,1,45
23271,1,60
23278,1,38
23317,1,54
23325,1,50
23382,1,53
23417,1,32
23436,1,43
23477,1,36
23580,1,56
23641,1,32
23649,1,54
23653,1,42
23698,1,46
23792,1,33
23875,1,32
23880,1,31
23888,1,32
23894,1,60
23913,1,35
23923,1,47
24080,1,45
24236,1,28
24400,1,30
24610,1,54
24627,1,27
25029,1,57
25071,1,30
25103,1,37
25182,1,30
25206,1,30
25217,1,26
25255,1,52
25303,1,41
25324,1,36
25349,1,39
25511,1,38
25593,1,28
25597,1,33
25668,1,36
25685,1,37
25695,1,32
25709,1,53
25730,1,32
25772,1,36
25775,1,28
25794,1,26
25859,1,33
25899,1,57
25959,1,41
25998,1,33
26022,1,31
26057,1,53
26110,1,52
26146,1,51
26155,1,27
26363,1,43
26386,1,32
26442,1,43
26497,1,32
26507,1,40
26583,1,30
26618,1,34
26665,1,44
26754,1,33
26757,1,34
26807,1,56
26834,1,39
26923,1,49
