id,job_blue-collar,age
1,1,39
6,1,29
15,1,38
19,1,46
35,1,29
164,1,48
216,1,34
260,1,34
323,1,29
419,1,50
427,1,27
434,1,44
529,1,48
573,1,41
611,1,26
650,1,43
705,1,62
744,1,25
956,1,51
1042,1,41
1301,1,26
1429,1,31
1444,1,51
1571,1,47
1587,1,57
1630,1,47
1769,1,38
1800,1,36
1872,1,43
1895,1,43
1938,1,28
1982,1,58
1995,1,47
2090,1,42
2121,1,60
2187,1,33
2291,1,33
2302,1,48
2419,1,46
2581,1,37
2710,1,39
2770,1,31
2814,1,53
3082,1,36
3096,1,26
3119,1,32
3145,1,37
3187,1,35
3227,1,51
3309,1,60
3318,1,51
3337,1,36
3393,1,48
3427,1,26
3522,1,40
3534,1,28
3542,1,27
3736,1,42
3755,1,35
3766,1,31
4009,1,44
4032,1,25
4101,1,39
4109,1,33
4138,1,24
4185,1,34
4284,1,24
4297,1,32
4325,1,31
4351,1,48
4389,1,36
4445,1,48
4746,1,57
4768,1,40
4913,1,30
4962,1,36
5012,1,42
5067,1,53
5079,1,56
5109,1,31
5231,1,29
5252,1,59
5290,1,21
5540,1,37
5566,1,32
5576,1,33
5587,1,33
5640,1,40
5659,1,39
5761,1,43
5853,1,42
5990,1,35
6116,1,31
6132,1,42
6170,1,45
6188,1,29
6250,1,39
6280,1,28
6319,1,49
6330,1,34
6409,1,37
6680,1,47
6803,1,26
6925,1,44
6955,1,44
7093,1,26
7139,1,49
7186,1,28
7322,1,30
7323,1,47
7364,1,55
7536,1,52
7683,1,40
7687,1,41
7712,1,30
7755,1,37
7762,1,21
7988,1,36
8147,1,37
8167,1,44
8185,1,26
8224,1,42
8265,1,32
8289,1,24
8381,1,25
8608,1,34
8614,1,51
8636,1,45
8645,1,46
8663,1,44
8881,1,56
8987,1,24
9016,1,34
9094,1,32
9130,1,25
9169,1,31
9215,1,27
9256,1,41
9330,1,41
9356,1,40
9431,1,27
9483,1,52
9528,1,48
9541,1,35
9607,1,53
9621,1,39
9671,1,30
9766,1,24
9850,1,33
10021,1,62
10039,1,47
10145,1,40
10154,1,53
10246,1,57
10261,1,29
10388,1,32
10450,1,34
10506,1,21
10589,1,33
10624,1,46
10625,1,56
10650,1,41
10693,1,29
10774,1,24
10828,1,37
10921,1,32
10939,1,44
10945,1,52
10991,1,36
11008,1,59
11040,1,41
11043,1,60
11044,1,42
11108,1,55
11142,1,28
11163,1,37
11171,1,36
11207,1,31
11250,1,31
11524,1,26
11535,1,30
11547,1,45
11586,1,35
11724,1,30
11979,1,47
12192,1,34
12272,1,29
12297,1,48
12560,1,35
12570,1,46
12610,1,25
12622,1,49
12715,1,53
12789,1,32
13040,1,32
13078,1,33
13162,1,56
13233,1,41
13295,1,27
13365,1,27
13366,1,33
13415,1,35
13497,1,42
13562,1,47
13613,1,27
13638,1,43
13686,1,34
13700,1,34
13742,1,52
13783,1,41
13847,1,43
13899,1,39
14035,1,36
14049,1,39
14063,1,36
14159,1,47
14191,1,39
14243,1,39
14255,1,55
14306,1,32
14488,1,25
14558,1,56
14618,1,28
14638,1,46
15058,1,47
15074,1,34
15145,1,42
15146,1,39
15231,1,29
15286,1,60
15304,1,37
15348,1,60
15387,1,33
15409,1,44
15453,1,47
15455,1,35
15580,1,49
15595,1,35
15663,1,41
15684,1,42
15692,1,50
15731,1,45
15793,1,28
15837,1,35
15886,1,51
16027,1,33
16108,1,35
16231,1,45
16236,1,30
16275,1,36
16296,1,27
16312,1,35
16321,1,28
16344,1,35
16413,1,56
16524,1,38
16633,1,25
16782,1,40
16800,1,47
16976,1,37
17117,1,25
17248,1,41
17354,1,33
17408,1,29
17474,1,26
17589,1,32
17596,1,46
17600,1,41
17606,1,40
17729,1,33
17753,1,45
17773,1,46
17781,1,40
17802,1,34
17808,1,36
17818,1,52
17850,1,29
17967,1,34
18033,1,33
18038,1,35
18041,1,42
18056,1,57
18073,1,25
18074,1,31
18096,1,49
18112,1,36
18319,1,54
18321,1,48
18386,1,27
18457,1,22
18466,1,39
18563,1,29
18570,1,40
18624,1,24
18774,1,62
18812,1,49
18850,1,26
18851,1,27
18859,1,33
19041,1,33
19081,1,26
19093,1,30
19142,1,53
19170,1,27
19192,1,30
19264,1,26
19451,1,29
19457,1,43
19501,1,22
19553,1,28
19590,1,29
19741,1,34
19756,1,55
19775,1,33
19802,1,50
19809,1,34
19845,1,38
19860,1,36
19905,1,36
19939,1,47
20046,1,27
20060,1,26
20103,1,45
20224,1,53
20227,1,32
20483,1,56
20641,1,59
20761,1,53
20791,1,28
20908,1,42
20951,1,26
21151,1,26
21171,1,53
21225,1,39
21279,1,42
21360,1,52
21395,1,36
21435,1,47
21474,1,31
21580,1,55
21623,1,30
21666,1,31
21672,1,51
21804,1,28
21815,1,51
21866,1,33
21891,1,34
21903,1,31
21948,1,30
21966,1,52
22101,1,31
22225,1,50
22263,1,52
22279,1,37
22421,1,39
22448,1,27
22524,1,36
22599,1,39
22638,1,29
22657,1,40
22761,1,35
22765,1,56
22775,1,38
22877,1,33
22878,1,40
23102,1,30
23150,1,41
23195,1,47
23225,1,26
23257,1,43
23427,1,43
23484,1,30
23516,1,29
23518,1,44
23524,1,40
23552,1,43
23594,1,27
23644,1,36
23645,1,40
23700,1,26
23720,1,30
23728,1,47
23732,1,46
23803,1,52
23843,1,45
23854,1,37
23948,1,30
24025,1,47
24053,1,41
24065,1,32
24068,1,32
24087,1,31
24164,1,58
24274,1,35
24353,1,39
24386,1,34
24508,1,27
24541,1,24
24668,1,48
24708,1,31
24838,1,42
24866,1,53
24977,1,42
25022,1,29
25023,1,25
25093,1,60
25104,1,54
25300,1,26
25409,1,43
25658,1,48
25802,1,27
25862,1,45
25932,1,46
25960,1,30
26014,1,35
26095,1,39
26187,1,49
26228,1,35
26352,1,49
26364,1,31
26389,1,44
26550,1,31
26599,1,43
26697,1,46
26736,1,40
26768,1,34
26879,1,27
26937,1,41
26965,1,34
27109,1,33
