id,job_housemaid,age
121,1,34
691,1,66
723,1,39
1033,1,80
2115,1,51
2308,1,82
2312,1,46
2617,1,62
3124,1,57
3664,1,56
4585,1,33
4826,1,64
5121,1,56
5331,1,62
5501,1,48
5949,1,63
6053,1,31
6146,1,50
6547,1,35
6560,1,29
6666,1,49
7718,1,66
8364,1,30
8418,1,33
8534,1,67
8567,1,66
8616,1,52
9304,1,54
9924,1,53
9934,1,44
10536,1,71
10700,1,48
11485,1,58
11964,1,60
12082,1,59
12150,1,76
12170,1,55
12545,1,38
12777,1,60
12822,1,36
12854,1,48
13133,1,53
13229,1,41
13290,1,57
13645,1,55
13864,1,45
14065,1,55
14719,1,62
16394,1,47
16742,1,61
16878,1,48
17763,1,55
17990,1,55
18702,1,35
19165,1,52
20245,1,29
20940,1,40
21007,1,22
22177,1,59
22816,1,38
24174,1,38
24604,1,53
25026,1,35
25538,1,23
25559,1,37
25889,1,59
26188,1,36
27051,1,55
