id,job_management,age
3,1,36
5,1,31
14,1,31
17,1,62
23,1,42
95,1,38
99,1,29
106,1,29
144,1,41
173,1,33
180,1,35
248,1,49
307,1,32
315,1,34
384,1,65
385,1,43
394,1,30
410,1,34
425,1,44
481,1,60
506,1,40
626,1,54
633,1,32
667,1,55
728,1,64
802,1,29
827,1,59
874,1,46
893,1,41
985,1,39
1072,1,33
1101,1,35
1103,1,31
1159,1,41
1183,1,35
1228,1,32
1243,1,63
1247,1,53
1378,1,37
1452,1,54
1478,1,44
1510,1,30
1522,1,33
1540,1,55
1578,1,34
1590,1,31
1599,1,26
1645,1,32
1734,1,42
1744,1,27
1751,1,34
1770,1,49
1883,1,32
1935,1,30
1957,1,37
2040,1,58
2136,1,39
2348,1,26
2365,1,39
2393,1,42
2402,1,33
2430,1,34
2473,1,50
2541,1,44
2635,1,28
2658,1,36
2667,1,36
2685,1,41
2708,1,35
2724,1,36
2791,1,29
2897,1,36
2953,1,49
2995,1,28
2999,1,26
3034,1,36
3056,1,30
3086,1,35
3109,1,55
3132,1,47
3135,1,30
3151,1,37
3154,1,34
3189,1,44
3194,1,57
3202,1,43
3203,1,43
3206,1,37
3247,1,36
3279,1,54
3327,1,44
3378,1,29
3489,1,36
3514,1,37
3588,1,47
3596,1,36
3672,1,37
3690,1,32
3718,1,47
3727,1,32
3781,1,36
3804,1,31
3858,1,45
4071,1,29
4073,1,32
4096,1,31
4115,1,39
4150,1,59
4191,1,51
4247,1,26
4309,1,33
4312,1,29
4342,1,60
4345,1,37
4352,1,32
4393,1,52
4464,1,28
4621,1,36
4640,1,27
4670,1,37
4702,1,35
4709,1,32
4710,1,40
4721,1,26
4793,1,61
4799,1,44
4830,1,36
4854,1,27
4892,1,31
4895,1,59
4901,1,42
4905,1,37
4993,1,35
4994,1,42
4996,1,40
5019,1,28
5031,1,31
5043,1,56
5062,1,29
5154,1,58
5162,1,43
5172,1,39
5184,1,38
5253,1,26
5261,1,46
5275,1,33
5328,1,43
5366,1,30
5373,1,34
5442,1,35
5443,1,29
5451,1,58
5459,1,43
5462,1,34
5482,1,57
5514,1,43
5515,1,38
5528,1,31
5530,1,30
5544,1,31
5590,1,31
