id,job_retired,age
4,1,63
18,1,66
256,1,61
295,1,73
366,1,64
396,1,71
399,1,61
544,1,64
634,1,73
661,1,56
866,1,63
1034,1,81
1328,1,57
1414,1,84
1445,1,67
1527,1,73
1585,1,68
1673,1,79
1802,1,54
1868,1,70
1965,1,64
2284,1,77
2336,1,69
2380,1,68
2433,1,81
2664,1,82
2751,1,63
2873,1,60
2933,1,67
3065,1,73
3268,1,69
3379,1,71
3389,1,71
3508,1,93
3528,1,63
3603,1,65
3777,1,73
3812,1,59
3830,1,76
3904,1,62
3914,1,65
4041,1,62
4056,1,74
4203,1,71
4253,1,66
4375,1,60
4382,1,62
4435,1,75
4468,1,60
4473,1,63
4766,1,92
4864,1,76
4910,1,59
4946,1,60
5119,1,82
5145,1,58
5273,1,59
5663,1,77
5841,1,79
5883,1,64
5907,1,64
5951,1,68
6043,1,74
6047,1,73
6108,1,66
6202,1,67
6218,1,73
6318,1,71
6402,1,60
6684,1,67
6744,1,78
6775,1,52
6908,1,72
6969,1,59
6970,1,55
7016,1,85
7025,1,72
7135,1,66
7396,1,69
7532,1,71
7583,1,61
7661,1,59
7697,1,77
7799,1,51
7822,1,61
7868,1,72
8034,1,77
8093,1,58
8101,1,66
8132,1,59
8253,1,76
8331,1,68
8372,1,67
8469,1,70
8511,1,57
8533,1,80
8561,1,65
8581,1,64
8593,1,71
8798,1,64
8924,1,59
9014,1,77
9060,1,60
9067,1,58
9125,1,77
9162,1,77
9173,1,60
9180,1,59
9434,1,59
9494,1,55
9564,1,75
9620,1,71
9658,1,57
9821,1,78
9881,1,72
10041,1,72
10067,1,66
10179,1,59
10356,1,64
10367,1,77
10508,1,62
10526,1,59
10590,1,80
10899,1,65
10948,1,56
11104,1,75
11177,1,63
11283,1,78
11431,1,57
11432,1,70
11502,1,57
11911,1,82
11977,1,75
12050,1,58
12166,1,71
12174,1,85
12214,1,67
12258,1,63
12322,1,63
12386,1,60
12401,1,71
12441,1,57
12469,1,73
12494,1,57
12649,1,78
12656,1,76
12727,1,73
12729,1,59
12951,1,66
13030,1,68
13227,1,61
13416,1,74
13459,1,65
13639,1,73
13655,1,86
13656,1,78
13889,1,79
14033,1,77
14051,1,56
14069,1,60
14218,1,60
14254,1,69
14395,1,60
14600,1,57
14650,1,57
14701,1,60
14756,1,61
14814,1,59
14942,1,57
14973,1,59
15016,1,80
15135,1,73
15138,1,61
15139,1,86
15195,1,69
15206,1,70
15209,1,75
15244,1,55
15305,1,78
15339,1,63
15418,1,73
15503,1,66
15516,1,68
15534,1,74
15693,1,63
15702,1,66
15711,1,75
15918,1,84
16043,1,70
16117,1,80
16409,1,72
16483,1,77
16682,1,85
16708,1,83
16994,1,65
17192,1,62
17383,1,78
17461,1,62
17602,1,56
17643,1,86
17681,1,73
17683,1,64
17822,1,68
17839,1,68
18667,1,90
18685,1,64
18707,1,70
18714,1,65
18756,1,72
18952,1,60
19126,1,62
19136,1,41
19387,1,59
19668,1,61
19747,1,59
19776,1,76
19783,1,34
19906,1,58
19959,1,67
20073,1,57
20098,1,60
20216,1,64
20311,1,92
20346,1,75
20359,1,73
20411,1,72
20442,1,60
20528,1,55
20563,1,65
20803,1,76
20848,1,73
20910,1,72
20927,1,60
20996,1,65
21051,1,61
21074,1,56
21087,1,63
21112,1,70
21138,1,60
21275,1,66
21325,1,64
21336,1,77
21339,1,57
21347,1,87
21351,1,74
21432,1,62
21514,1,69
21525,1,70
21629,1,80
21706,1,68
21813,1,61
21931,1,71
21936,1,58
21972,1,77
22048,1,76
22254,1,57
22260,1,72
22393,1,51
22523,1,62
22584,1,73
22769,1,51
22884,1,56
22936,1,76
22952,1,77
23113,1,72
23218,1,59
23320,1,71
23390,1,67
23522,1,61
23619,1,70
23723,1,74
23729,1,53
23752,1,67
23759,1,59
23879,1,56
23883,1,69
24004,1,68
24032,1,61
24137,1,60
24397,1,57
24547,1,66
24615,1,82
24693,1,79
24716,1,72
24731,1,59
24756,1,61
24868,1,60
24878,1,83
24920,1,60
24988,1,61
24996,1,72
25062,1,60
25091,1,54
25157,1,80
25189,1,68
25297,1,70
25415,1,56
25577,1,64
25651,1,68
25735,1,59
25787,1,66
25980,1,59
26133,1,62
26220,1,64
26530,1,72
26544,1,63
26611,1,68
26710,1,61
26737,1,66
26749,1,56
27069,1,64
