id,job_self-employed,age
10,1,32
11,1,35
162,1,28
219,1,30
719,1,31
760,1,38
990,1,31
1021,1,58
1817,1,41
2026,1,28
2218,1,25
2373,1,41
2388,1,29
2681,1,28
2682,1,30
2769,1,26
2796,1,32
3099,1,50
3716,1,58
3979,1,36
4195,1,72
4322,1,27
4396,1,30
4743,1,43
4749,1,32
5008,1,51
5207,1,31
5298,1,41
5464,1,47
5648,1,51
5669,1,62
6605,1,39
6665,1,32
7331,1,38
7430,1,29
7576,1,31
8143,1,44
8335,1,45
8978,1,28
9186,1,28
9768,1,75
9806,1,32
9912,1,44
10096,1,33
10847,1,33
11188,1,32
11229,1,34
11693,1,60
12097,1,59
12153,1,59
12421,1,30
12519,1,44
12723,1,36
12984,1,32
13084,1,28
13114,1,29
13527,1,50
13710,1,35
13880,1,32
14011,1,40
14344,1,61
14525,1,63
14527,1,35
14655,1,51
15040,1,46
15044,1,22
15100,1,30
15106,1,52
15137,1,40
15502,1,28
15764,1,60
15798,1,30
15847,1,34
16516,1,43
16672,1,44
17210,1,34
17368,1,29
17397,1,30
17406,1,34
17437,1,30
17714,1,44
17944,1,24
17988,1,43
18050,1,34
18211,1,31
18300,1,44
18590,1,27
18640,1,48
19073,1,33
19291,1,30
19328,1,32
19547,1,52
19593,1,29
20069,1,51
20258,1,36
20748,1,46
21513,1,46
21526,1,29
21699,1,35
21828,1,31
21848,1,31
21868,1,41
21960,1,33
22037,1,26
22106,1,36
22721,1,47
23141,1,32
23266,1,28
23562,1,32
23664,1,29
24546,1,31
24596,1,61
24739,1,42
26311,1,44
26554,1,28
26772,1,44
26994,1,33
