id,job_services,age
7,1,37
55,1,49
220,1,30
245,1,27
348,1,25
349,1,33
579,1,33
674,1,32
696,1,32
844,1,39
1170,1,26
1274,1,32
1431,1,29
1461,1,32
1472,1,40
1616,1,29
1746,1,41
1799,1,33
2033,1,32
2552,1,28
2560,1,48
2900,1,35
2904,1,38
2925,1,27
3054,1,43
3120,1,41
3157,1,31
3171,1,39
3195,1,51
3258,1,37
3274,1,32
3499,1,49
3617,1,35
3619,1,36
3687,1,23
3855,1,53
3889,1,45
4046,1,36
4099,1,27
4215,1,54
4223,1,52
4681,1,50
4792,1,25
4818,1,56
5168,1,30
5256,1,50
5265,1,32
5836,1,25
5903,1,36
6117,1,30
6521,1,35
6600,1,35
6731,1,32
6743,1,32
6897,1,37
6960,1,25
6996,1,32
7116,1,39
7343,1,54
7469,1,46
7470,1,58
7520,1,30
7567,1,59
7572,1,27
7612,1,31
7774,1,34
8170,1,33
8499,1,29
8542,1,55
8859,1,38
9033,1,36
9091,1,25
9111,1,44
9151,1,36
9220,1,49
9248,1,37
9296,1,26
9323,1,36
9589,1,33
9761,1,39
9860,1,33
9874,1,30
10033,1,24
10106,1,32
10445,1,25
10543,1,40
10596,1,33
11006,1,47
11139,1,34
11175,1,24
11233,1,30
11332,1,35
11981,1,37
12046,1,31
12288,1,35
12305,1,50
12477,1,28
12506,1,58
12672,1,33
12724,1,38
12767,1,37
12792,1,39
12807,1,58
12827,1,30
12952,1,42
12962,1,23
13053,1,60
13204,1,25
13288,1,29
13426,1,32
13547,1,33
13584,1,34
13608,1,44
13622,1,49
13790,1,37
13940,1,50
13979,1,40
14067,1,37
14331,1,39
14352,1,52
14549,1,31
14696,1,35
14751,1,30
14777,1,30
14806,1,39
15117,1,32
15179,1,36
15373,1,53
15593,1,54
15718,1,39
15771,1,39
15801,1,42
15861,1,57
15873,1,56
15915,1,32
16010,1,43
16022,1,49
16062,1,36
16447,1,54
16675,1,43
16680,1,23
16815,1,36
16818,1,30
16925,1,24
16947,1,33
17027,1,34
17054,1,47
17090,1,49
17462,1,34
17500,1,40
17846,1,40
17904,1,40
17997,1,33
18256,1,22
18268,1,39
18306,1,44
18323,1,26
18358,1,30
18544,1,36
18726,1,42
18929,1,47
18994,1,47
19042,1,26
19375,1,41
19408,1,33
19600,1,51
19694,1,43
19711,1,49
19798,1,55
19877,1,52
19980,1,37
19988,1,34
20271,1,49
20453,1,46
20551,1,31
20555,1,47
20627,1,26
20799,1,34
20942,1,36
21141,1,29
21163,1,23
21475,1,60
21661,1,23
21758,1,28
21853,1,43
21942,1,27
22058,1,43
22408,1,39
22540,1,32
22626,1,56
22677,1,53
23066,1,37
23085,1,38
23199,1,32
23220,1,39
23399,1,38
23478,1,30
23690,1,36
23825,1,52
23898,1,38
23980,1,50
24146,1,30
24179,1,35
24361,1,40
24411,1,26
24717,1,44
24822,1,28
24827,1,52
24949,1,48
24981,1,28
25084,1,28
25193,1,37
25394,1,46
25448,1,32
25587,1,42
25917,1,37
25926,1,59
26013,1,34
26510,1,24
26536,1,56
26575,1,25
26899,1,43
26975,1,23
27054,1,35
