id,job_unemployed,age
209,1,45
453,1,49
852,1,30
953,1,31
1237,1,37
1245,1,54
1535,1,38
1593,1,28
1756,1,30
1927,1,39
2464,1,25
2485,1,51
2512,1,35
2576,1,54
2775,1,54
2786,1,57
2911,1,40
3108,1,26
3580,1,40
3671,1,65
3909,1,31
3994,1,53
4653,1,41
5272,1,50
5370,1,53
5411,1,36
5637,1,59
5689,1,58
5753,1,31
6272,1,40
6519,1,52
7084,1,45
7099,1,36
7127,1,55
7284,1,54
7291,1,42
7351,1,52
7401,1,33
7471,1,29
8024,1,29
8597,1,36
8809,1,28
9441,1,60
10054,1,35
10117,1,36
10282,1,41
10717,1,44
11211,1,35
11376,1,28
11573,1,26
11636,1,42
11764,1,28
11860,1,46
12125,1,58
12158,1,40
12343,1,31
12811,1,38
13035,1,45
14075,1,24
14096,1,42
14185,1,62
14522,1,33
14640,1,40
14892,1,41
14974,1,31
15033,1,29
15037,1,43
15351,1,31
15659,1,38
15714,1,45
15762,1,41
15872,1,46
16942,1,37
17019,1,39
17144,1,37
17152,1,39
17441,1,42
17496,1,48
17625,1,42
17798,1,39
18432,1,31
18777,1,48
18937,1,26
19079,1,40
19540,1,33
19602,1,46
19731,1,52
19854,1,52
19930,1,39
20129,1,31
20265,1,41
20332,1,48
20349,1,25
20600,1,34
20774,1,33
20879,1,35
20894,1,40
20949,1,29
20977,1,56
21160,1,30
21264,1,31
21456,1,41
21566,1,37
22380,1,33
22504,1,29
22689,1,53
22972,1,54
23551,1,58
23943,1,59
24132,1,40
24191,1,60
24225,1,48
24235,1,48
24252,1,26
24371,1,26
24578,1,43
24607,1,51
24685,1,30
24935,1,23
25467,1,42
25606,1,64
25617,1,33
25716,1,35
26027,1,34
26066,1,54
26321,1,31
26370,1,47
26694,1,40
26890,1,32
27075,1,34
